Номер дільниці; Опис меж дільниці; Адреса приміщення для голосування (місцезнаходження) / Адреса дільничної виборчої комісії; Розмір дільниці; Кординати
741062; м.Чернігів – вул.Бланка, вул.Варзара, вул.Іллінська, вул.Лісковицька: 4–17., вул.Сіверянська, вул.Толстого: 33, 35, 37, 39, 41, 43, 45, 47, 49–51, 53, 55–74, 76, 78, 80., вул.Урочище Святе, вул.Ушакова, вул.Феодосія Углицького, пров.Ушакова; вул.Толстого, 17, м.Чернігів, 14008 (школа №4, 2-й корпус, кабінет трудового навчання);Середня;31.293797,51.483577
741063; м.Чернігів – вул.Висока, вул.ГРС-2, вул.Енергетиків, вул.Загородня, вул.Івана Мазепи: 78–78А., вул.Кропивницького: 46–46Г, 50, 52–54, 56–56А, 58А, 64, 66–66А, 68, 72–231., вул.Придеснянська, вул.Старопосадська, вул.Ушинського; вул.Ушинського, 10, м.Чернігів, 14014 (професійний ліцей побуту, танцювальна зала);Велика;31.262055,51.470580
741064; м.Чернігів – вул.Кропивницького: 2–45, 47–49, 51, 55, 57, 59–63, 65, 67, 69–71., вул.Толстого: 102–104, 106, 114, 118–124, 126–128, 130, 132, 134, 136, 138–138А, 140, 142, 144, 146–154А., вул.110-й кілометр; вул.Толстого, 148, м.Чернігів, 14014 (школа №24, актова зала);Велика;31.271360,51.473578
741065; м.Чернігів – вул.Горобинова, вул.Дьошина, вул.Зарічна, вул.Івана Мазепи: 68–72А., вул.Індустріальна, вул.Малинова, вул.Мурахтова, вул.Павлівська, вул.Пантелеймона Куліша, вул.Полянська, вул.Чкалова, пров.Дьошина, пров.1-й Зарічний, пров.2-й Зарічний; вул.Івана Мазепи, 110, м.Чернігів, 14001 (ПАТ "Хімтекстильмаш", к.216);Велика;31.248872,51.470541
741066; м.Чернігів – вул.Текстильників: 4–11Б, 13, 15–15А, 17/43., пров.Дмитра Самоквасова; вул.Текстильників, 27, м.Чернігів, 14001 (школа №34, фойє);Велика;31.263670,51.480518
741067; м.Чернігів – вул.Білогірська, вул.Льговська, вул.Світанкова, вул.Славутицька, вул.Слов’янська, вул.Солов’їна, вул.Текстильників: 3, 12, 14, 16, 18–41.,; вул.Текстильників, 27, м.Чернігів, 14001 (школа №34, фойє);Велика;31.263152,51.480608
741068; м.Чернігів – вул.Дмитра Самоквасова: 13, 16, 18–23., вул.Ціолковського, вул.Чудінова; вул.Текстильників, 30, м.Чернігів, 14001 (школа №14, фойє);Велика;31.262219,51.480984
741069; м.Чернігів – вул.Дмитра Самоквасова: 1–11, 15, 17.,; вул.Дмитра Самоквасова, 8, м.Чернігів, 14001 (палац культури художньої творчості дітей, юнацтва та молоді, вестибюль);Велика;31.261786,51.477972
741070; м.Чернігів – вул.Івана Мазепи: 54–60А., вул.Музична, вул.Толстого: 83–101, 105, 107–111, 115–117А, 125–125А, 129, 131, 133, 135, 137, 139, 141, 143, 145., пров.Музичний, пров.2-й Толстого; вул.Музична, 2А, м.Чернігів, 14014 (професійний ліцей деревообробної промисловості, спортивна зала);Велика;31.272651,51.479605
741071; м.Чернігів – вул.Ватутіна, вул.Віхніна, вул.Вороного, вул.Гнєдаша, вул.Іоанна Максимовича, вул.Колоскових, вул.Малясова, вул.Межова, вул.Миколи Василенка, вул.Промислова: 1–37, 40–44., вул.Сковороди, вул.Суворова, вул.Толстого: 75, 77, 79., вул.Фабрична, пров.Межовий, пров.Попудренка; вул.Малясова, 14, м.Чернігів, 14017 (школа №17, спортивна зала);Велика;31.281247,51.484873
741072; м.Чернігів – вул.Івана Мазепи: 46, 48., вул.Попудренка: 1–10А, 12–12Б., просп.Перемоги: 13, 17, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 35, 36, 37, 38, 40, 43.,; вул.Попудренка, 33, м.Чернігів, 14000 (школа №10, актова зала);Велика;31.285303,51.487688
741073; м.Чернігів – вул.Івана Мазепи: 25–31, 33, 36–43А., вул.Краснодонців, вул.Олегове поле, просп.Перемоги: 10, 12, 14, 18.,; вул.Івана Мазепи, 35, м.Чернігів, 14017 (школа №6, їдальня);Велика;31.275711,51.489705
741074; м.Чернігів – вул.Кирпоноса, вул.Князя Чорного: 1, 2, 6, 14, 16., вул.Коцюбинського: 19, 21, 23, 25, 27, 29, 31, 33, 37А, 39А., вул.Магістратська: 4, 8, 8А, 8Б, 9, 10, 11, 13, 15, 17, 17А, 19, 19А., вул.Реміснича: 4–22., вул.Святомиколаївська: 1, 3А, 4, 4А., вул.Хлібопекарська: 2–21, 24, 32., пров.Коцюбинського: 2–2А, 4А–5.,; пров.Коцюбинського, 4, м.Чернігів, 14000 (обласний інститут післядипломної педагогічної освіти, 3-й корпус, к.112);Велика;31.290695,51.486766
741075; м.Чернігів – вул.Десняка: 18–21, 24–66А., вул.Коцюбинського: 2, 2А, 4, 4А, 6, 6А, 9, 10, 11, 12, 14, 20, 22, 22А, 22Б, 22В, 22Г, 24, 28, 28А, 28Б, 30, 32., вул.Лесі Українки: 3–22, 24, 26, 28, 30, 32, 34, 49–71., вул.Хлібопекарська: 23, 25–29, 34–48., вул.Холодний Яр, пров.Коцюбинського: 3–3А, 5А–8., просп.Перемоги: 45, 47, 54, 56, 58, 71, 75.,; вул.Коцюбинського, 8, м.Чернігів, 14000 (школа №20, їдальня);Велика;31.287152,51.488200
741076; м.Чернігів – вул.Бориса Луговського, вул.Воскресенська: 12, 14, 16, 18–47., вул.Зої Космодем’янської, вул.Марковича, вул.Маяковського, вул.Мічуріна, вул.Олексія Бакуринського: 17–17А, 20Г–65., вул.Попудренка: 11, 15–37., пров.Марковича, пров.1-й Воскресенський, пров.2-й Воскресенський, просп.Перемоги: 42, 44, 46, 48, 50, 51, 52, 55, 59, 63, 64, 67.,; вул.Попудренка, 14, м.Чернігів, 14017 (міський центр зайнятості, каб.1);Велика;31.279794,51.486525
741077; м.Чернігів – вул.Воскресенська: 1–11, 13–13В, 15, 17., вул.Івана Мазепи: 2–13., вул.Любецька: 11., вул.Олексія Бакуринського: 6–16, 18–20., вул.Реміснича: 31–58., вул.Ринкова, пров.Олексія Бакуринського; вул.Реміснича, 56, м.Чернігів, 14000 (професійний ліцей залізничного транспорту, спортивна зала);Велика;31.285964,51.494280
741078; м.Чернігів – вул.Івана Мазепи: 19–22, 32, 34., вул.Любецька: 2–9А, 15–31.,; вул.Івана Мазепи, 23, м.Чернігів, 14017 (міський палац культури, фойє);Велика;31.279379,51.493409
741079; м.Чернігів – вул.Івана Мазепи: 18–18Д, в/ч Т0500., вул.Пирогова: 22–22А.,; вул.Старобілоуська, 15, м.Чернігів, 14017 (міська дезінфекційна станція, актова зала);Велика;31.278587,51.494504
741080; м.Чернігів – вул.Андрія Мовчана: 1–4., вул.Вячеслава Радченка: 14, 18, 20, 38, 42–46А, 48, 50, 52, 57–75А., вул.В’ячеслава Чорновола: 15., вул.Декабристів: 50–89., вул.Дружби, вул.Кринична, вул.Любецька: 34–42, 45, 47., вул.Остапа Вишні, вул.Пирогова: 1–8Б., вул.Поліська, вул.Поліський Яр, вул.Ревуцького, вул.Самострова: 28–38., вул.Старобілоуська: 61А–61Б., пров.Андрія Мовчана, пров.Поліський; вул.Любецька, 40, м.Чернігів, 14021 (школа №13, коридор, 2-й поверх);Велика;31.269090,51.500393
741081; м.Чернігів – вул.Івана Богуна: 38, 41–41А, 43, 45–58., вул.Самострова: 13–27А.,; вул.Любецька, 40, м.Чернігів, 14021 (школа №13, фойє, 1-й поверх);Велика;31.268382,51.500422
741082; м.Чернігів – вул.В’ячеслава Чорновола: 4–13, 15А–42А., вул.Івана Богуна: 40, 42, 44., вул.Садова; вул.Івана Богуна, 55, м.Чернігів, 14021 (Чернігівський державний обласний навчально-курсовий комбінат, зала);Велика;31.275175,51.499960
741083; м.Чернігів – вул.Заводська, вул.Пугачова, вул.Шевчука, вул.1-ї Гвардійської Армії: 1–3, 5, 7, 9, 13, 15–51.,; вул.Шевчука, 11, м.Чернігів, 14005 (ліцей №32, фойє);Велика;31.277442,51.505186
741084; м.Чернігів – вул.Самострова: 6–11., вул.1-ї Гвардійської Армії: 4, 6, 8, 10–12/6, 14.,; вул.Шевчука, 11, м.Чернігів, 14005 (ліцей №32, фойє);Велика;31.277251,51.505457
741085; м.Чернігів – вул.Андрія Мовчана: 5–46, 48., вул.Василя Прохорського, вул.Декабристів: 23–49., вул.Довга: 44–44А, 46, 48, 50–107А., вул.Любецька: 44–44В, 46–46Б, 48–59, 62А–71, 73–77., вул.Мартина Небаби: 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 11А, 12, 13, 13А, 14А, 15, 16, 16А, 17, 18, 20, 21, 22, 23, 24, 25, 25А, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 39А, 40, 41, 41А, 42, 43, 43А, 44, 45, 45А, 46, 47, 48, 49, 50, 50А, 51, 52, 52А, 53, 53А, 54, 55, 56, 57, 58, 58А, 59, 60, 61, 62, 63, 63А, 64, 65, 66, 67., вул.Низова, вул.Ріпкинська, вул.Франка, вул.Червона, вул.Широка, пров.Широкий; вул.Василя Прохорського, 2А, м.Чернігів, 14021 (дошкільний навчальний заклад №66, спортивна зала);Середня;31.268484,51.502613
741087; м.Чернігів – вул.Леоніда Пашина: 12.,; вул.Леоніда Пашина, 12, м.Чернігів, 14010 (геріатричний пансіонат, галерея);мала;31.239665,51.503593
741088; м.Чернігів – вул.Жабинського, вул.Івана Мазепи: 45, 47, 49–51., вул.Привокзальна, пров.Вокзальний; просп.Перемоги, 1, м.Чернігів, 14017 (вокзал станції Чернігів, зала очікування);Велика;31.267150,51.485936
741089; м.Чернігів – вул.Вячеслава Радченка: 1–13, 15–17, 19, 21–37, 39–41, 47А, 49, 51, 55., вул.В’ячеслава Чорновола: 45–56А., вул.Залізнична, вул.Пирогова: 15А–21, 23–31., вул.Старобілоуська: 2–61., пров.Старобілоуський; вул.Старобілоуська, 18, м.Чернігів, 14017 (дошкільний навчальний заклад №7, музична зала);Велика;31.265840,51.495254
741090; м.Чернігів – вул.Герцена, вул.Дніпровська: 1, 5, 7–9, 11–25., вул.Житомирська, вул.Заньковецької: 1–26, 29, 31–68., вул.Мечникова, вул.Миру, вул.Подусівська, вул.Попова, вул.Саксаганського, вул.Севастопольська, вул.Сєрікова, вул.Танкістів, вул.Тургенєва, вул.Харківська: 3А, 9–12., вул.Хмельницького, вул.Чайкіної, вул.2-й кілометр, пров.Дніпровський, пров.Заньковецької, пров.Подусівський, пров.Попова, пров.Сєрікова; вул.Харківська, 5, м.Чернігів, 14010 (дошкільний навчальний заклад №57, музична зала);Велика;31.247511,51.493922
741091; м.Чернігів – вул.Дніпровська: 2–4, 6–6А, 10, 31–35., вул.Заньковецької: 28, 30., вул.Харківська: 2, 6–8.,; вул.Дніпровська, 35, м.Чернігів, 14010 (клуб "Ровесник", спортивна зала);Велика;31.249269,51.493576
741092; м.Чернігів – вул.Березова, вул.Білоруська, вул.Верені, вул.Весняна, вул.Гагаріна: 32–125., вул.Глинки, вул.Казарма 172 км, вул.Леоніда Пашина: 5–11, 13–17., вул.Макаренка, вул.Одеська, вул.Олександра Тищинського, вул.Радіо, вул.Сонячна, вул.Спортивна, вул.Сумська, вул.Транспортна, вул.Федора Уманця, вул.Цимбаліста, пров.Білоруський, пров.Транзитний, пров.Транспортний, пров.Хмельницького; вул.Гагаріна, 27, м.Чернігів, 14010 (школа №21, фойє);Велика;31.246853,51.500048
741093; м.Чернігів – вул.Гагаріна: 2–31., вул.Дмитра Дорошенка, вул.Керченська, вул.Кримська, вул.Кутузова, вул.Московська, вул.Нечуя-Левицького, вул.Панаса Мирного, вул.Перемоги, вул.21-го Вересня; вул.Гагаріна, 24, м.Чернігів, 14010 (школа №18, спортивна зала);Велика;31.247992,51.497914
741094; м.Чернігів – вул.Глібова, вул.Гребінки, вул.Григорія Кочура, вул.Євгена Гуцала, вул.Курська, вул.Мінська, вул.Невського, вул.Орловська: 24, 26, 28, 30, 32, 34, 36, 38–42, 44–117., вул.Полєтаєва, вул.Степана Носа, пров.Курський, пров.Мінський, пров.Невського, пров.Полєтаєва; вул.Орловська, 6, м.Чернігів, 14021 (дошкільний навчальний заклад санаторного типу №58 "Лісова казка", музична зала);Велика;31.234971,51.512428
741095; м.Чернігів – вул.Андрусенка, вул.Батюка, вул.Блажкуна, вул.Богушевича, вул.Брестська, вул.Бузкова, вул.Володимира Неговського, вул.Геологічна, вул.Комка, вул.Красносільського: 1–20А, 21А–23, 24–26, 28–37, 58–70, 72, 74, 76–78, 80–82, 84, 86, 88–158., вул.Львівська, вул.Нафтовиків, вул.Прорізна, вул.Рильського, вул.Руднєва, пров.Нафтовиків; вул.Нафтовиків, 3, м.Чернігів, 14026 (гуртожиток ДП "Чернігівнафтогазгеологія", вестибюль);Велика;31.225441,51.519882
741100; м.Чернігів – вул.Елеваторна, вул.Земнухова, вул.Івана Молявки, вул.Квітнева, вул.Масанівська, вул.Незалежності: 46, 56., вул.Трудова, пров.Івана Молявки, пров.Масанівський; вул.Незалежності, 42А, м.Чернігів, 14026 (школа №35, коридор, 2-й поверх);Велика;31.230876,51.519767
741101; м.Чернігів – вул.Красносільського: 47., вул.Незалежності: 2, 14–16, 24, 50, 68–72, 76, 80–82.,; вул.Незалежності, 42А, м.Чернігів, 14026 (школа №35, фойє, 1-й поверх);Велика;31.230526,51.519597
741102; м.Чернігів – вул.Василя Бульби, вул.Забарівська, вул.Костромська, вул.Красносільського: 49., вул.Незалежності: 18–22, 40, 48, 52, 60–62., вул.Пилипа Морачевського, вул.Стратилата, вул.Черкаська, пров.Забарівський, пров.Костромський; вул.Незалежності, 42А, м.Чернігів, 14026 (школа №35, фойє, 1-й поверх);Велика;31.230452,51.519932
741103; м.Чернігів – вул.Красносільського: 85–85А., вул.Незалежності: 74, 78.,; вул.Красносільського, 89, м.Чернігів, 14026 (ДП "Чернігівський експертно-технічний центр Держгірпромнагляду України", каб.25);Середня;31.231503,51.517454
741104; м.Чернігів – вул.Красносільського: 21, 23А, 27, 71, 73–73А, 75, 79, 83, 87., вул.Незалежності: 12–12Б., вул.Орловська: 1–23, 25, 27, 29, 31, 33, 35–35А, 37, 43., вул.Тульська; вул.Незалежності, 20, м.Чернігів, 14026 (дошкільний навчальний заклад №75, спортивна зала);Велика;31.234493,51.518219
